yourlist:M20191024E5A08BB0B2D1C45B0C7BC3B55FD265564DCC6CI	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]	Topological domain
A6NKC4	FCGRC_HUMAN		Deleted.						
O15320	MIA2_HUMAN	reviewed	Melanoma inhibitory activity protein 2 (CTAGE family member 5 ER export factor) (Meningioma-expressed antigen 6/11)	MIA2 CTAGE5 MEA11 MEA6 MGEA11 MGEA6	Homo sapiens (Human)	1412	TRANSMEM 647 667 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21525241, ECO:0000269|PubMed:21807889, ECO:0000269|PubMed:25202031, ECO:0000269|PubMed:28442536}; Single-pass membrane protein {ECO:0000269|PubMed:21807889}. Note=Localizes to endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER). {ECO:0000269|PubMed:21525241, ECO:0000269|PubMed:21807889, ECO:0000269|PubMed:25202031, ECO:0000269|PubMed:28442536}.	TOPO_DOM 20 605 Lumenal. {ECO:0000305}.; TOPO_DOM 627 646 Lumenal. {ECO:0000305}.; TOPO_DOM 668 1412 Cytoplasmic. {ECO:0000305}.
P33765	AA3R_HUMAN	reviewed	Adenosine receptor A3	ADORA3	Homo sapiens (Human)	318	TRANSMEM 15 37 Helical; Name=1. {ECO:0000250}.; TRANSMEM 49 72 Helical; Name=2. {ECO:0000250}.; TRANSMEM 85 106 Helical; Name=3. {ECO:0000250}.; TRANSMEM 127 148 Helical; Name=4. {ECO:0000250}.; TRANSMEM 178 198 Helical; Name=5. {ECO:0000250}.; TRANSMEM 232 255 Helical; Name=6. {ECO:0000250}.; TRANSMEM 262 284 Helical; Name=7. {ECO:0000250}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q28309}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 14 Extracellular. {ECO:0000250}.; TOPO_DOM 38 48 Cytoplasmic. {ECO:0000250}.; TOPO_DOM 73 84 Extracellular. {ECO:0000250}.; TOPO_DOM 107 126 Cytoplasmic. {ECO:0000250}.; TOPO_DOM 149 177 Extracellular. {ECO:0000250}.; TOPO_DOM 199 231 Cytoplasmic. {ECO:0000250}.; TOPO_DOM 256 261 Extracellular. {ECO:0000250}.; TOPO_DOM 285 318 Cytoplasmic. {ECO:0000250}.
P33765	TMIG3_HUMAN	reviewed	Transmembrane domain-containing protein TMIGD3	TMIGD3 UNQ1931/PRO4406	Homo sapiens (Human)	266	TRANSMEM 55 75 Helical. {ECO:0000255}.; TRANSMEM 213 233 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:27886186}; Multi-pass membrane protein {ECO:0000255}.	
P01891	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P01892	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P05534	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P10314	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P10316	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P13746	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
