Q6ZS62	len=124	ExpAA=23.82	First60=1.39	PredHel=1	Topology=o75-97i
P14384	len=443	ExpAA=3.52	First60=1.21	PredHel=0	Topology=o
P40259	len=229	ExpAA=23.84	First60=2.97	PredHel=1	Topology=o161-180i
P15169	len=458	ExpAA=3.78	First60=3.48	PredHel=0	Topology=o
P23508	len=829	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6ZV80	len=131	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q9NX46	len=363	ExpAA=0.27	First60=0.08	PredHel=0	Topology=o
P41240	len=450	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
P35858	len=605	ExpAA=0.96	First60=0.93	PredHel=0	Topology=o
Q5SW96	len=308	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q7Z6I8	len=188	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9BS16	len=269	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BV29	len=185	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q4G0S7	len=254	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P30443	len=365	ExpAA=30.44	First60=7.38	PredHel=1	Topology=o308-330i
Q9P1Z9	len=1701	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P08861	len=270	ExpAA=0.09	First60=0.08	PredHel=0	Topology=o
Q96M95	len=316	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P15289	len=507	ExpAA=2.65	First60=2.63	PredHel=0	Topology=o
Q5TBE3	len=101	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NRK6	len=738	ExpAA=110.64	First60=0.10	PredHel=5	Topology=o171-193i214-236o314-336i393-415o430-452i
Q12887	len=443	ExpAA=140.77	First60=0.61	PredHel=4	Topology=o248-270i282-304o376-398i411-428o
Q9Y615	len=435	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Q9UBX8	len=382	ExpAA=23.25	First60=23.24	PredHel=1	Topology=i13-35o
Q8TD86	len=181	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9NYQ6	len=3014	ExpAA=163.45	First60=11.56	PredHel=7	Topology=o2471-2493i2506-2525o2529-2551i2573-2592o2612-2634i2650-2672o2682-2704i
P02649	len=317	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q6PH81	len=154	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Q96CM8	len=615	ExpAA=18.88	First60=0.10	PredHel=0	Topology=o
P84085	len=180	ExpAA=0.08	First60=0.07	PredHel=0	Topology=o
Q6JBY9	len=416	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q07973	len=514	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q504U0	len=113	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9P291	len=453	ExpAA=23.42	First60=22.45	PredHel=1	Topology=i7-29o
Q8N283	len=1001	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q92481	len=460	ExpAA=4.68	First60=0.00	PredHel=0	Topology=o
Q96MT8	len=703	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q7L5N1	len=327	ExpAA=6.15	First60=6.11	PredHel=0	Topology=o
Q99440	len=93	ExpAA=0.23	First60=0.23	PredHel=0	Topology=i
Q6UWU4	len=347	ExpAA=22.03	First60=3.78	PredHel=1	Topology=i57-79o
A6NNH2	len=459	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q13685	len=434	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Q8N4F0	len=458	ExpAA=22.24	First60=18.62	PredHel=1	Topology=i7-29o
P54802	len=743	ExpAA=9.22	First60=8.84	PredHel=0	Topology=o
O00189	len=453	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q96SW2	len=442	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
O75718	len=401	ExpAA=13.70	First60=13.67	PredHel=1	Topology=i7-24o
P68106	len=108	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
O75129	len=1339	ExpAA=45.88	First60=7.00	PredHel=2	Topology=o207-229i430-452o
Q8N319	len=242	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UHK6	len=382	ExpAA=18.08	First60=5.77	PredHel=0	Topology=o
Q9H8M5	len=875	ExpAA=91.57	First60=0.48	PredHel=4	Topology=o257-279i312-334o338-360i367-389o
O15072	len=1205	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
P98194	len=919	ExpAA=170.00	First60=0.00	PredHel=8	Topology=i83-100o104-119i269-286o301-323i701-723o776-795i844-863o873-895i
Q3C1V1	len=193	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
