Accession	TMHMM #TM	TMHMMI	TMHMMO	TMHMMRatio(O/I)	Phobius #TM	PhobiusI	PhobiusO	PhobiusRatio(O/I)	consensus #TM	consensusI	consensusO	consensusRatio(O/I)	inclusive #TM	inclusiveI	inclusiveO	inclusiveRatio(O/I)
Q6ZS62	1	27	74	2.740740740740741	1	27	75	2.7777777777777777	1	27	74	2.740740740740741	1	27	75	2.7777777777777777
P14384	0	0	0	inf	1	1	406	406.0	0	0	0	inf	1	1	406	406.0
P40259	1	49	160	3.2653061224489797	1	48	128	2.6666666666666665	1	48	128	2.6666666666666665	1	49	160	3.2653061224489797
P15169	0	0	0	inf	0	0	438	inf	0	0	0	inf	0	0	438	inf
P23508	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6ZV80	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9NX46	0	0	0	inf	0	0	347	inf	0	0	0	inf	0	0	347	inf
P41240	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P35858	0	0	0	inf	0	0	578	inf	0	0	0	inf	0	0	578	inf
Q5SW96	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q7Z6I8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BS16	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BV29	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q4G0S7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P30443	1	35	307	8.771428571428572	1	33	283	8.575757575757576	1	33	283	8.575757575757576	1	35	307	8.771428571428572
Q9P1Z9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P08861	0	0	0	inf	0	0	253	inf	0	0	0	inf	0	0	253	inf
Q96M95	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P15289	0	0	0	inf	0	0	479	inf	0	0	0	inf	0	0	479	inf
Q5TBE3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9NRK6	5	362	261	0.7209944751381215	6	568	43	0.07570422535211267	5	341	16	0.0469208211143695	6	589	288	0.48896434634974534
Q12887	4	23	333	14.478260869565217	9	221	35	0.1583710407239819	4	15	26	1.7333333333333334	9	229	342	1.4934497816593886
