# SignalP-5.0	Organism: Eukarya	Timestamp: 20191022231331
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q6ZS62	OTHER	0.104038	0.895962	
P14384	SP(Sec/SPI)	0.992143	0.007857	CS pos: 17-18. VAA-LD. Pr: 0.9510
P40259	SP(Sec/SPI)	0.995945	0.004055	CS pos: 28-29. VPA-AR. Pr: 0.5176
P15169	SP(Sec/SPI)	0.877355	0.122645	CS pos: 20-21. VAP-VT. Pr: 0.6756
P23508	OTHER	0.000227	0.999773	
Q6ZV80	OTHER	0.068894	0.931106	
Q9NX46	OTHER	0.010337	0.989663	
P41240	OTHER	0.002384	0.997616	
P35858	SP(Sec/SPI)	0.997548	0.002452	CS pos: 27-28. LEG-AD. Pr: 0.6926
Q5SW96	OTHER	0.000980	0.999020	
Q7Z6I8	OTHER	0.004117	0.995883	
Q9BS16	OTHER	0.000500	0.999500	
Q9BV29	OTHER	0.006638	0.993362	
Q4G0S7	OTHER	0.000409	0.999591	
P30443	SP(Sec/SPI)	0.981094	0.018906	CS pos: 24-25. TWA-GS. Pr: 0.8648
Q9P1Z9	OTHER	0.001192	0.998808	
P08861	SP(Sec/SPI)	0.992249	0.007751	CS pos: 17-18. ASG-YG. Pr: 0.6990
Q96M95	OTHER	0.000271	0.999729	
P15289	SP(Sec/SPI)	0.988459	0.011541	CS pos: 18-19. AVA-RP. Pr: 0.8335
Q5TBE3	OTHER	0.002887	0.997113	
Q9NRK6	OTHER	0.007321	0.992679	
Q12887	OTHER	0.001232	0.998768	
Q9Y615	OTHER	0.001637	0.998363	
Q9UBX8	OTHER	0.105848	0.894152	
Q8TD86	OTHER	0.001661	0.998339	
Q9NYQ6	SP(Sec/SPI)	0.989633	0.010367	CS pos: 25-26. AMG-LR. Pr: 0.3305
P02649	SP(Sec/SPI)	0.999098	0.000902	CS pos: 18-19. CQA-KV. Pr: 0.9547
Q6PH81	OTHER	0.000717	0.999283	
Q96CM8	OTHER	0.001917	0.998083	
P84085	OTHER	0.005185	0.994815	
Q6JBY9	OTHER	0.000527	0.999473	
Q07973	OTHER	0.002257	0.997743	
Q504U0	OTHER	0.000551	0.999449	
Q9P291	OTHER	0.070812	0.929188	
Q8N283	OTHER	0.001812	0.998188	
Q92481	OTHER	0.004162	0.995838	
Q96MT8	OTHER	0.000382	0.999618	
Q7L5N1	OTHER	0.003544	0.996456	
Q99440	OTHER	0.005006	0.994994	
Q6UWU4	OTHER	0.000800	0.999200	
A6NNH2	OTHER	0.002770	0.997230	
Q13685	OTHER	0.000342	0.999658	
Q8N4F0	SP(Sec/SPI)	0.992162	0.007838	CS pos: 20-21. VGA-ST. Pr: 0.7494
P54802	SP(Sec/SPI)	0.901489	0.098511	CS pos: 23-24. AAG-DE. Pr: 0.4133
O00189	OTHER	0.003037	0.996963	
Q96SW2	OTHER	0.000501	0.999499	
O75718	SP(Sec/SPI)	0.938260	0.061740	CS pos: 26-27. GRA-QY. Pr: 0.4731
P68106	OTHER	0.001340	0.998660	
O75129	SP(Sec/SPI)	0.973817	0.026183	CS pos: 49-50. LLA-GA. Pr: 0.3911
Q8N319	OTHER	0.000314	0.999686	
Q9UHK6	OTHER	0.004507	0.995493	
Q9H8M5	OTHER	0.126994	0.873006	
O15072	SP(Sec/SPI)	0.986185	0.013815	CS pos: 20-21. TSA-DG. Pr: 0.6564
P98194	OTHER	0.000430	0.999570	
Q3C1V1	OTHER	0.001173	0.998827	
P0DKL9	OTHER	0.000435	0.999565	
Q9H4R4	OTHER	0.001522	0.998478	
L0R819	OTHER	0.000523	0.999477	
P35555	SP(Sec/SPI)	0.993437	0.006563	CS pos: 24-25. SHG-AD. Pr: 0.7413
Q92484	SP(Sec/SPI)	0.956517	0.043483	CS pos: 22-23. GLG-LP. Pr: 0.6666
Q8TCG5	OTHER	0.000826	0.999174	
A6NM45	OTHER	0.066181	0.933819	
